Stab,ST2,ST4,Brand,Sample Code,Data,Gruppo parametri,ABD,Alcol % peso,Alcol % vol,Amaro,Apparent Attenuation (%),Attenuazione Reale (RDF) %,Attenuazione vendita apparente %p,Azoto alfa-amminico t.q.,Cellule all'insemenzamento,Chill-back Start Time,Colore EBC,Data riempimento,Diacetile + precursori (ferm.),Differenza apparente-limite,Durata di conservazione lievito in cella,Durata raffreddamento,Estratto apparente,Estratto apparente limite %Pp,Estratto reale ,Fermentation rate (13.5°-5.5°),Fermentazione STEP 1,Fermentazione STEP 2,Final attenuation (EVG),Grado primitivo %Pp,Hopped Wort,Hopped Wort (37°C),Hopped Wort Actidione,Iso-alfa acidi,Maturazione STEP 3,NBB-A,NBB-B,Occupancy in fermentation,Occupancy in fermentation Racking,Pentandione + precursori,pH,pH minimo (End of Ferm),Plato chiusura freddo,Quotazione lievito - NBB-B,Raffreddamento STEP 3,Raffreddamento STEP 4,Rapporto ER/ABW,Temperatura Fermentazione,Temperatura STEP 1,Temperatura STEP 2,Temperatura STEP 3,Temp. lievito all'insemenzamento,Tempo di riduzione diacetile
PD,FE,FEPE,Peroni,23034411,10/08/2023,Lista di fermentazione Peroni 16.5,,5.48,7.01,,,65.02,80.48,,,,,,,0.22,,,3.12,2.90,5.59,,,,,15.98,,,,,,,,,,,4.25,,,,,,1.02,,,,,,
PD,FE,FEPE,Peroni,23034411,10/08/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23034412,10/08/2023,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23034412,10/08/2023,Fermentazione Peroni,,,,,,,,,16.50,230.00,,,46.00,,12.30,162.00,,,,2.91,,,,,,,,,,,,264.00,,38.00,,,,,,,,14.50,,,,5.60,10.00
PD,FE,FEPE,Peroni,23034412,10/08/2023,Lista di fermentazione Peroni 16.5,,5.56,7.11,,,66.26,82.03,,,,,,,0.11,,,2.86,2.75,5.37,,,,,15.92,,,,,,,,,,,4.25,,,,,,0.97,,,,,,
PD,FE,FEPE,Peroni,23034412,10/08/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23034413,10/08/2023,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23034413,10/08/2023,Fermentazione Peroni,,,,,,,,,17.60,200.00,,,48.00,,17.55,85.00,,,,2.95,,,,,,,,,,,,261.00,,35.00,,,,,,,,14.50,,,,7.80,8.92
PD,FE,FEPE,Peroni,23034413,10/08/2023,Lista di fermentazione Peroni 16.5,,5.44,6.96,,,65.11,80.61,,,,,,,0.25,,,3.07,2.82,5.53,,,,,15.85,,,,,,,,,,,4.22,,,,,,1.02,,,,,,
PD,FE,FEPE,Peroni,23034413,10/08/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23036011,18/08/2023,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23036011,18/08/2023,Fermentazione Peroni,,,,,,,,,17.50,248.00,,,47.00,,13.30,56.00,,,,2.91,,,,,,,,,,,,256.00,,35.00,,,,,,,,14.50,,,,7.57,9.92
PD,FE,FEPE,Peroni,23036011,18/08/2023,Lista di fermentazione Peroni 16.5,,5.80,7.41,,,67.40,82.41,,,,,,,0.42,,,2.87,2.45,5.31,,,,,16.29,,,,,,,,,,,4.16,,,,,,0.92,,,,,,
PD,FE,FEPE,Peroni,23036011,18/08/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23036012,18/08/2023,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23036012,18/08/2023,Fermentazione Peroni,,,,,,,,,17.50,254.00,,,50.00,,10.30,62.00,,,,2.74,,,,,,,,,,,,264.00,,46.00,,,,,,,,14.50,,,,6.66,10.00
PD,FE,FEPE,Peroni,23036012,18/08/2023,Lista di fermentazione Peroni 16.5,,5.84,7.46,,,68.10,83.27,,,,,,,0.20,,,2.72,2.52,5.18,,,,,16.24,,,,,,,,,,,4.32,,,,,,0.89,,,,,,
PD,FE,FEPE,Peroni,23036012,18/08/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037667,29/08/2023,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037667,29/08/2023,Fermentazione Peroni,,,,,,,,,16.74,235.00,,,42.00,,16.51,22.00,,,,3.00,,,,,,,,,,,,257.00,,34.00,,,,,,,,14.60,,,,9.67,9.80
PD,FE,FEPE,Peroni,23037667,29/08/2023,Lista di fermentazione Peroni 16.5,,5.51,7.04,,,67.11,83.09,,,,,,,0.21,,,2.64,2.43,5.13,,,,,15.60,,,,,,,,,,,4.32,,,,,,0.93,,,,,,
PD,FE,FEPE,Peroni,23037667,29/08/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037668,29/08/2023,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037668,29/08/2023,Fermentazione Peroni,,,,,,,,,16.47,236.00,,,50.00,,19.20,22.00,,,,3.69,,,,,,,,,,,,258.00,,32.00,,,,,,,,14.50,,,,7.05,9.70
PD,FE,FEPE,Peroni,23037668,29/08/2023,Lista di fermentazione Peroni 16.5,,5.53,7.06,,,67.46,83.46,,,,,,,0.21,,,2.58,2.37,5.07,,,,,15.58,,,,,,,,,,,4.31,,,,,,0.92,,,,,,
PD,FE,FEPE,Peroni,23037668,29/08/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037669,29/08/2023,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037669,29/08/2023,Fermentazione Peroni,,,,,,,,,15.78,235.00,,,50.00,,25.00,166.00,,,,3.00,,,,,,,,,,,,257.00,,40.00,,,,,,,,14.60,,,,2.50,8.79
PD,FE,FEPE,Peroni,23037669,29/08/2023,Lista di fermentazione Peroni 16.5,,5.65,7.22,,,67.55,83.60,,,,,,,0.20,,,2.60,2.40,5.15,,,,,15.87,,,,,,,,,,,4.34,,,,,,0.91,,,,,,
PD,FE,FEPE,Peroni,23037669,29/08/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037670,29/08/2023,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037670,29/08/2023,Fermentazione Peroni,,,,,,,,,16.54,233.00,,,45.00,,6.45,86.00,,,,5.49,,,,,,,,,,,,264.00,,39.00,,,,,,,,14.50,,,,8.16,9.79
PD,FE,FEPE,Peroni,23037670,29/08/2023,Lista di fermentazione Peroni 16.5,,5.65,7.21,,,67.99,84.10,,,,,,,0.14,,,2.51,2.37,5.05,,,,,15.78,,,,,,,,,,,4.25,,,,,,0.89,,,,,,
PD,FE,FEPE,Peroni,23037670,29/08/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037671,29/08/2023,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037671,29/08/2023,Fermentazione Peroni,,,,,,,,,16.00,234.00,,,40.00,,12.10,22.00,,,,2.95,,,,,,,,,,,,256.00,,30.00,,,,,,,,14.60,,,,9.80,10.00
PD,FE,FEPE,Peroni,23037671,29/08/2023,Lista di fermentazione Peroni 16.5,,5.72,7.30,,,67.93,84.05,,,,,,,0.11,,,2.55,2.44,5.12,,,,,15.97,,,,,,,,,,,4.32,,,,,,0.90,,,,,,
PD,FE,FEPE,Peroni,23037671,29/08/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037672,29/08/2023,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037672,29/08/2023,Fermentazione Peroni,,,,,,,,,16.00,236.00,,,50.00,,10.20,28.00,,,,2.96,,,,,,,,,,,,264.00,,48.00,,,,,,,,14.60,,,,2.50,10.00
PD,FE,FEPE,Peroni,23037672,29/08/2023,Lista di fermentazione Peroni 16.5,,5.77,7.37,,,67.68,83.82,,,,,,,0.18,,,2.61,2.43,5.22,,,,,16.15,,,,,,,,,,,4.25,,,,,,0.90,,,,,,
PD,FE,FEPE,Peroni,23037672,29/08/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037673,29/08/2023,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037673,29/08/2023,Fermentazione Peroni,,,,,,,,,16.00,237.00,,,46.00,,6.50,26.00,,,,2.50,,,,,,,,,,,,263.00,,39.00,,,,,,,,14.60,,,,2.50,9.80
PD,FE,FEPE,Peroni,23037673,29/08/2023,Lista di fermentazione Peroni 16.5,,4.90,6.55,,,60.28,74.66,,,,,,,1.69,,,4.06,2.37,6.37,,,,,16.04,,,,,,,,,,,4.54,,,,,,1.25,,,,,,
PD,FE,FEPE,Peroni,23037673,29/08/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037674,29/08/2023,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037674,29/08/2023,Fermentazione Peroni,,,,,,,,,16.00,234.00,,,50.00,,10.30,22.00,,,,2.50,,,,,,,,,,,,256.00,,40.00,,,,,,,,14.50,,,,2.50,10.00
PD,FE,FEPE,Peroni,23037674,29/08/2023,Lista di fermentazione Peroni 16.5,,5.46,6.99,,,63.87,79.10,,,,,,,0.96,,,3.38,2.42,5.85,,,,,16.19,,,,,,,,,,,4.62,,,,,,1.07,,,,,,
PD,FE,FEPE,Peroni,23037674,29/08/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037675,29/08/2023,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037675,29/08/2023,Fermentazione Peroni,,,,,,,,,,,,,,,7.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.30,
PD,FE,FEPE,Peroni,23037675,29/08/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037676,29/08/2023,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037676,29/08/2023,Fermentazione Peroni,,,,,,,,,16.45,235.00,,,44.00,,10.10,22.00,,,,3.00,,,,,,,,,,,,257.00,,33.00,,,,,,,,14.60,,,,7.90,9.60
PD,FE,FEPE,Peroni,23037676,29/08/2023,Lista di fermentazione Peroni 16.5,,5.74,7.33,,,67.79,83.98,,,,,,,0.12,,,2.57,2.45,5.17,,,,,16.05,,,,,,,,,,,4.25,,,,,,0.90,,,,,,
PD,FE,FEPE,Peroni,23037676,29/08/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037677,29/08/2023,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23037677,29/08/2023,Fermentazione Peroni,,,,,,,,,17.95,303.00,,,49.00,,,125.00,,,,2.09,,,,,,,,,,,,428.00,,47.00,,,,,,,,12.00,,,,,12.88
PD,FE,FEPE,Peroni,23037677,29/08/2023,Lista di fermentazione Peroni 16.5,,5.62,7.18,,,66.96,82.84,,,,,,,0.24,,,2.73,2.49,5.26,,,,,15.92,,,,,,,,,,,4.22,,,,,,0.94,,,,,,
PD,FE,FEPE,Peroni,23037677,29/08/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23038072,31/08/2023,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23038072,31/08/2023,Fermentazione Peroni,,,,,,,,,16.54,234.00,,,41.00,,7.30,180.00,,,,3.00,,,,,,,,,,,,264.00,,39.00,,,,,,,,14.50,,,,8.30,9.88
PD,FE,FEPE,Peroni,23038072,31/08/2023,Lista di fermentazione Peroni 16.5,,5.60,7.15,,,67.54,83.60,,,,,,,0.18,,,2.58,2.40,5.11,,,,,15.74,,,,,,,,,,,4.22,,,,,,0.91,,,,,,
PD,FE,FEPE,Peroni,23038072,31/08/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23038073,31/08/2023,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23038073,31/08/2023,Fermentazione Peroni 12,,,,,,,,,16.74,304.00,,,46.00,,,202.00,,,,1.71,,,,,,,,,,,,506.00,,37.00,,,,,,,,13.00,,,,,12.25
PD,FE,FEPE,Peroni,23038073,31/08/2023,Lista di fermentazione Peroni 12,,4.62,5.89,,,66.69,82.54,,,,,,,0.18,,,2.33,2.15,4.44,,,,,13.33,,,,,,,,,,,4.21,,,,,,0.96,,,,,,
PD,FE,FEPE,Peroni,23038073,31/08/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23038629,04/09/2023,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23038629,04/09/2023,Fermentazione Peroni,,,,,,,,,16.45,217.00,,,44.00,,13.45,110.00,,,,3.00,,,,,,,,,,,,256.00,,40.00,,,,,,,,14.50,,,,7.12,9.63
PD,FE,FEPE,Peroni,23038629,04/09/2023,Lista di fermentazione Peroni 16.5,,5.65,7.23,,,67.45,83.46,,,,,,,0.19,,,2.63,2.44,5.18,,,,,15.92,,,,,,,,,,,4.19,,,,,,0.92,,,,,,
PD,FE,FEPE,Peroni,23038629,04/09/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23038630,04/09/2023,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23038630,04/09/2023,Fermentazione Peroni,,,,,,,,,16.45,235.00,,,46.00,,16.40,175.00,,,,3.00,,,,,,,,,,,,264.00,,42.00,,,,,,,,14.50,,,,6.50,10.00
PD,FE,FEPE,Peroni,23038630,04/09/2023,Lista di fermentazione Peroni 16.5,,5.57,7.11,,,67.30,83.25,,,,,,,0.19,,,2.63,2.44,5.14,,,,,15.72,,,,,,,,,,,4.14,,,,,,0.92,,,,,,
PD,FE,FEPE,Peroni,23038630,04/09/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23038631,04/09/2023,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23038631,04/09/2023,Fermentazione Peroni,,,,,,,,,16.00,230.00,,,41.00,,25.40,256.00,,,,3.00,,,,,,,,,,,,260.00,,36.00,,,,,,,,14.50,,,,2.50,10.00
PD,FE,FEPE,Peroni,23038631,04/09/2023,Lista di fermentazione Peroni 16.5,,5.70,7.28,,,67.30,83.30,,,,,,,0.16,,,2.68,2.52,5.25,,,,,16.05,,,,,,,,,,,4.24,,,,,,0.92,,,,,,
PD,FE,FEPE,Peroni,23038631,04/09/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23038632,04/09/2023,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23038632,04/09/2023,Fermentazione Peroni,,,,,,,,,16.47,234.00,,,43.00,,13.25,180.00,,,,3.00,,,,,,,,,,,,264.00,,40.00,,,,,,,,14.50,,,,6.55,9.83
PD,FE,FEPE,Peroni,23038632,04/09/2023,Lista di fermentazione Peroni 16.5,,5.65,7.22,,,66.73,82.57,,,,,,,0.16,,,2.80,2.64,5.34,,,,,16.05,,,,,,,,,,,4.17,,,,,,0.95,,,,,,
PD,FE,FEPE,Peroni,23038632,04/09/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23040366,14/09/2023,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23040366,14/09/2023,Fermentazione Peroni,,,,,,,,,16.78,235.00,,,45.00,,5.20,21.00,,,,3.00,,,,,,,,,,,,256.00,,37.00,,,,,,,,14.50,,,,6.90,10.00
PD,FE,FEPE,Peroni,23040366,14/09/2023,Lista di fermentazione Peroni 16.5,,5.51,7.03,,,68.05,84.26,,,,,,,0.10,,,2.42,2.32,4.92,,,,,15.40,,,,,,,,,,,4.10,,,,,,0.89,,,,,,
PD,FE,FEPE,Peroni,23040366,14/09/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23040367,14/09/2023,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23040367,14/09/2023,Fermentazione Peroni,,,,,,,,,16.77,217.00,,,46.00,,8.17,171.00,,,,3.00,,,,,,,,,,,,388.00,,36.00,,,,,,,,14.50,,,,5.70,9.13
PD,FE,FEPE,Peroni,23040367,14/09/2023,Lista di fermentazione Peroni 16.5,,6.15,7.86,,,67.85,83.96,,,,,,,0.16,,,2.74,2.58,5.49,,,,,17.08,,,,,,,,,,,4.26,,,,,,0.89,,,,,,
PD,FE,FEPE,Peroni,23040367,14/09/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23040368,14/09/2023,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23040368,14/09/2023,Fermentazione Peroni,,,,,,,,,16.00,236.00,,,50.00,,5.20,26.00,,,,3.00,,,,,,,,,,,,262.00,,47.00,,,,,,,,14.50,,,,6.90,10.00
PD,FE,FEPE,Peroni,23040368,14/09/2023,Lista di fermentazione Peroni 16.5,,5.81,7.42,,,68.17,84.34,,,,,,,0.15,,,2.53,2.38,5.14,,,,,16.15,,,,,,,,,,,4.12,,,,,,0.88,,,,,,
PD,FE,FEPE,Peroni,23040368,14/09/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23040369,14/09/2023,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23040369,14/09/2023,Fermentazione Peroni,,,,,,,,,16.00,324.00,,,50.00,,,47.00,,,,2.23,,,,,,,,,,,,371.00,,39.00,,,,,,,,12.00,,,,,13.58
PD,FE,FEPE,Peroni,23040369,14/09/2023,Lista di fermentazione Peroni 16.5,,5.86,7.53,,,71.54,72.20,,,,,,,2.03,,,4.33,2.30,4.43,,,,,15.57,,,,,,,,,,,4.13,,,,,,0.76,,,,,,
PD,FE,FEPE,Peroni,23040369,14/09/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23040370,14/09/2023,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23040370,14/09/2023,Fermentazione Peroni,,,,,,,,,16.44,233.00,,,50.00,,21.30,21.00,,,,3.00,,,,,,,,,,,,254.00,,44.00,,,,,,,,14.50,,,,2.50,10.00
PD,FE,FEPE,Peroni,23040370,14/09/2023,Lista di fermentazione Peroni 16.5,,5.68,7.25,,,67.53,83.59,,,,,,,0.28,,,2.62,2.34,5.18,,,,,15.95,,,,,,,,,,,4.15,,,,,,0.91,,,,,,
PD,FE,FEPE,Peroni,23040370,14/09/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23040371,14/09/2023,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23040371,14/09/2023,Fermentazione Peroni,,,,,,,,,16.78,211.00,,,47.00,,29.15,123.00,,,,3.00,,,,,,,,,,,,262.00,,36.00,,,,,,,,14.50,,,,9.07,8.88
PD,FE,FEPE,Peroni,23040371,14/09/2023,Lista di fermentazione Peroni 16.5,,5.77,7.37,,,67.89,84.03,,,,,,,0.18,,,2.57,2.39,5.17,,,,,16.10,,,,,,,,,,,4.11,,,,,,0.90,,,,,,
PD,FE,FEPE,Peroni,23040371,14/09/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23042800,02/10/2023,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23042800,02/10/2023,Fermentazione Peroni,,,,,,,,,16.80,186.00,,,49.00,,48.00,37.00,,,,4.47,,,,,,,,,,,,223.00,,39.00,,,,,,,,14.50,,,,4.96,8.83
PD,FE,FEPE,Peroni,23042800,02/10/2023,Lista di fermentazione Peroni 16.5,,5.55,7.21,,,67.90,84.05,,,,,,,0.16,,,2.52,2.36,5.07,,,,,15.79,,,,,,,,,,,4.11,,,,,,0.90,,,,,,
PD,FE,FEPE,Peroni,23042800,02/10/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23043136,03/10/2023,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23043136,03/10/2023,Fermentazione Peroni,,,,,,,,,16.77,202.00,,,31.00,,37.10,21.00,,,,3.92,,,,,,,,,,,,223.00,,21.00,,,,,,,,14.50,,,,6.11,9.00
PD,FE,FEPE,Peroni,23043136,03/10/2023,Lista di fermentazione Peroni 16.5,,5.79,7.40,,,67.32,83.36,,,,,,,0.23,,,2.71,2.48,5.32,,,,,16.28,,,,,,,,,,,4.16,,,,,,0.92,,,,,,
PD,FE,FEPE,Peroni,23043136,03/10/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23043137,03/10/2023,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23043137,03/10/2023,Fermentazione Peroni,,,,,,,,,16.88,238.00,,,43.00,,44.15,22.00,,,,3.00,,,,,,,,,,,,260.00,,16.00,,,,,,,,14.50,,,,5.45,10.00
PD,FE,FEPE,Peroni,23043137,03/10/2023,Lista di fermentazione Peroni 16.5,,5.70,7.28,,,67.12,83.09,,,,,,,0.29,,,2.72,2.43,5.29,,,,,16.09,,,,,,,,,,,4.15,,,,,,0.93,,,,,,
PD,FE,FEPE,Peroni,23043137,03/10/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23043144,03/10/2023,CIP Tank Cantina,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23043144,03/10/2023,Fermentazione Peroni,,,,,,,,,16.00,238.00,,,43.00,,41.30,19.00,,,,2.67,,,,,,,,,,,,257.00,,38.00,,,,,,,,14.50,,,,5.30,10.00
PD,FE,FEPE,Peroni,23043144,03/10/2023,Lista di fermentazione Peroni 16.5,,5.67,7.25,,,67.88,80.83,,,,,,,0.22,,,3.04,2.82,5.09,,,,,15.85,,,,,,,,,,,4.15,,,,,,0.90,,,,,,
PD,FE,FEPE,Peroni,23043144,03/10/2023,Microbiologia FV48/96,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,
PD,FE,FEPE,Peroni,23043145,03/10/2023,CIP Tank Cantina,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,
