,ABD,Alcol_peso,Alcol_vol,Attenuazione Reale (RDF) %,Attenuazione vendita apparente %p,Cellule all'insemenzamento,Diacetile + precursori (ferm.),Differenza apparente-limite,Durata di conservazione lievito in cella,Estratto apparente,Estratto apparente limite %Pp,Estratto reale,Fermentation rate (13.5°-5.5°),Grado primitivo %Pp,Hopped Wort,Hopped Wort (37°C),NBB-A,NBB-B,Pentandione + precursori,pH,Rapporto ER/ABW,Temperatura Fermentazione,Temp. lievito all'insemenzamento,Tempo di riduzione diacetile
936,0.0,5.25,6.7,68.22,84.42,17.3,15.0,0.03,8.3,2.29,2.26,4.67,1.9,14.7,0.0,0.0,0.0,0.0,14.0,4.25,0.89,12.807534027221777,2.0,9.83
937,0.0,4.93,6.31,64.34,79.66,17.8,33.0,0.79,27.45,2.98,2.19,5.22,1.9,14.64,0.0,0.0,0.0,0.0,39.0,4.3,1.06,12.807534027221777,2.0,11.0
938,0.0,4.92,6.28,66.73,82.62,16.8,26.0,0.27,47.0,2.45,2.18,4.7,2.4,14.13,0.0,0.0,0.0,0.0,42.0,4.17,0.96,13.5,2.0,10.0
939,0.0,4.94,6.31,66.33,82.14,15.7,40.0,0.27,4.15,2.55,2.28,4.8,2.91,14.26,0.0,0.0,0.0,0.0,74.0,4.16,0.97,13.5,2.5,9.13
940,0.0,5.02,6.41,66.39,82.21,16.0,49.0,0.33,25.3,2.57,2.24,4.86,2.45,14.46,0.0,0.0,0.0,0.0,70.0,4.1,0.97,13.5,2.5,8.29
941,0.0,5.06,6.46,67.17,83.09,16.0,40.0,0.09,35.0,2.44,2.35,4.73,2.4,14.41,0.0,0.0,0.0,0.0,55.0,4.17,0.93,13.5,2.5,9.5
942,0.0,4.1,5.22,67.33,83.44,16.3,40.0,0.11,20.47475871313673,1.96,1.85,3.86,1.13,11.82,0.0,0.0,0.0,0.0,45.0,4.29,0.94,10.0,2.8270625,19.83
943,0.0,4.28,5.47,62.77,77.8,12.0,41.0,0.22,16.4,2.92,2.7,4.89,2.23,13.14,0.0,0.0,0.0,0.0,35.0,4.58,1.14,12.807534027221777,2.7,11.219009009009008
944,0.0,5.22,6.68,64.7,80.08,15.0,50.0,0.67,33.35,3.06,2.39,5.42,2.3,15.35,0.0,0.0,0.0,0.0,56.0,4.54,1.04,12.807534027221777,2.5,11.219009009009008
945,0.0,4.97,6.35,67.48,81.17,19.0,235.0,0.23,6.2,2.66,2.43,4.59,1.82,14.11,0.0,0.0,0.0,0.0,0.0,4.42,0.92,13.0,2.0,11.0
946,0.0,4.07,5.2,63.95,79.24,18.0,142.0,0.35,29.17,2.56,2.21,4.44,2.14,12.32,0.0,0.0,0.0,0.0,146.0,4.43,1.09,13.0,2.5,7.0
947,0.0,5.02,6.41,67.01,83.0,16.7,32.0,0.21,35.0,2.44,2.23,4.73,2.87,14.34,0.0,0.0,0.0,0.0,59.0,4.07,0.94,13.5,2.5,8.71
948,0.0,4.93,6.3,66.1,81.86,16.7,36.0,0.29,48.0,2.59,2.3,4.84,2.06,14.28,0.0,0.0,0.0,0.0,31.0,4.26,0.98,12.807534027221777,2.0,9.38
